Neighborhood,Latitude,Longitude
Andheri,19.118459378296492,72.84176321065843
Anushakti Nagar,19.042830000000038,72.92734000000007
Baiganwadi,19.062940000000026,72.92663000000005
Bandra,19.054370000000063,72.84017000000006
Bhandup,19.145560000000046,72.94856000000004
Borivali,19.229360000000042,72.85751000000005
Charkop,19.208660000000066,72.82612000000006
Chembur,19.06218000000007,72.90241000000003
Dahisar,19.250030000000038,72.85907000000003
Devipada,19.224690000000066,72.86605000000003
Dombivli,19.212750000000028,73.08324000000005
Eastern Suburbs (Mumbai),19.00426978951916,72.85579215153318
Ghatkopar,19.08652321008152,72.90900774216628
Goregaon,19.164550000000077,72.84946000000008
Grant Road,18.959290000000067,72.83108000000004
Jogeshwari,19.137920000000065,72.84941000000003
Juhu,19.014920000000075,72.84522000000004
Kalyan,18.953937419095155,72.82036732944775
Kandivali,19.21198153260436,72.83757275783374
Kanjurmarg,19.131380000000036,72.93568000000005
Kausa,19.127580000000023,72.82539000000008
Kurla,19.064980000000048,72.88069000000007
Mahavir Nagar (Kandivali),19.21094000000005,72.84137000000004
Mankhurd,19.048530000000028,72.93222000000003
"Matharpacady, Mumbai",18.95069409769749,72.82726848542904
Mira Road,19.265674440654085,72.87068073176981
Mogra Village,20.663800000000037,77.97656000000006
Mulund,19.171830000000057,72.95565000000005
Mumbra,18.940170000000023,72.83483000000007
Pestom sagar,19.070640000000026,72.90217000000007
Seven Bungalows,19.131341971146554,72.81634197114656
Shil Phata,19.14658000000003,73.04005000000006
"Sion, Mumbai",19.04341000000005,72.86332000000004
"Sonapur, Bhandup",19.163940000000025,72.93544000000003
Thakur village,19.210200000000043,72.87541000000004
Tilak Nagar (Mumbai),18.99616000000003,72.85279000000008
Uttan,19.00804000000005,72.84427000000005
Vashi,19.087425628368614,73.01143482056095
Vikhroli,19.111090000000047,72.92781000000008
Wadala,19.01720000000006,72.85817000000003
Western Suburbs (Mumbai),19.197010000000034,72.82768000000004
Worli,19.00744000000003,72.81688000000008
